Text,Sentimen
Sepertinya kebocoran itu disengaja,negatif
sejak kapan RUU PDP jadi citizen surveillance bloon,negatif
Waspada…,negatif
BJORKA BJORKA NOH LIAT RUU PDP MAU DISAH KAN,negatif
Sengaja dibuat untuk menekankan urgensi RUU PDP sehingga segera disahkan Apabila RUU PDP disahkan maka akan cair anggaran sekian triliun RUU dan anggaran tsb,negatif
Kalo lembaga gak bisa independen,negatif
Apesnya yg ngaku independen aja acap kali dikontrol,negatif
pemerintah vs bjorka itu cuma skenario biar pemerintah punya alasan mengesahkan RUU PDP,negatif
kopas2 RUU PDP sah,negatif
Kan ini akibat ulah lo nyeett,negatif
Jangan jangan cuma pengalihan isu soalnya memang sengaja buat menggolkan RUU PDP,negatif
dari awal emang udah mencurigakan,negatif
wkkwk sedih kita mah rakyat,negatif
kwwk kan emang bjorka gak ada ka khayalan,negatif
yaa seperti biasa kaa emang udah permainanya mereka,negatif
hela nafas yang panjang kaa bisa yuk bisa sama negara ini,negatif
sedih yaa kaa sama negara badut ini,negatif
seperti biasa kaa badutt wkwk,negatif
SETUJU BGT keliatan si dari awal emang udah skenario pemerintah,negatif
rakyat mah emang selalu jadi tumbal gak si dari dulu,negatif
seperti biasa ka dia yang buat dia juga yang buat aturan,negatif
ada gak si selain piala oscar yang gelarnya menangnya kayak WOW bgt coba di kasih ke dpr,negatif
gimmick wakanda ini seperti biasa,negatif
udah ketebak bgt si bjorka yang punya emang orang pemerintahan,negatif
setujuu berarti emang bjorka tuh cuma dibuat sama pemerintah aja biar mereka bikin uu pdp,negatif
emang aneh bgt kaa,negatif
wkwkwkwk sialan ini negara atau tim kreatif kang ngeprank demi ruu pdp,negatif
Dibayar berapa sama pemerintah biar RUU PDP Cair,negatif
Akibat terlalu euforia kemunculan Bjorka yang sama sekali tidak ada keuntungan,negatif
Hal seperti ini yang di inginkan mereka untuk mengalihkan segala kasus besar,negatif
Ngoceh aja,negatif
Jangan sewenang wenang dong GJ,negatif
PROBLEM,negatif
Intinya jadikan dulu tersangka Biar RUU PDP lancar bjorka adalah proxy,negatif
Banyak kali undang2 nih,negatif
Aku melihatnya dia sebagai anti hero aja Asshole sih,negatif
Rezim konyol banget kalo merencanakan agar RUU PDP disahkan dengan cost membiarkan hacker proxy membocorkan datanya,negatif
Tau sendiri kan kayak kominfo itu pake saringan bocor,negatif
RUU PDP udah dikebut karena banyak pembobolan data eh masa transisinya DUA TAHUN,negatif
MAU TAU BJORKA YANG LAGI GOBLOK GOBLOKIN ORANG SE INDONESIA,negatif
BJORKA ADALAH BUATAN PEMERINTAH/REZIM,negatif
_Sengaja dibuat utk menekankan urgensi RUU PDP sehingga segera disahkan Apabila RUU PDP disahkan maka akan cair anggaran sekian triliun,negatif
Khawatirkan Hacker Bjorka,negatif
gue gak tau mau mengadu kesiapa suruh kita pasrah dengan adanya kebocoran data ini divisi cyber nya ngapain yaa  Seandainya RUU PDP disahkan juga,negatif
Kenapa harus selalu setelah kejadian seharusnya jauh hari hal seperti ini bisa disiapkan,negatif
Benarkah Bjorka merupakan hacker bayaran pemerintah guna segera di sah kan RUU PDP,negatif
ga heran RUU PDP ga kelar2 Disaat negara lain sudah punya aturan jelas,negatif
Kami juga pastikan sampai saat ini RUU Perlindungan Data Pribadi belum disahkan DPR lho Pak,negatif
Sanksi yang diberikan kepada badan publik hanya mencakup sanksi dan denda administratif yang dinilai tidak cukup kuat,negatif
Pak kenapa pemerintah tidak mendorong DPR segera mengesahkan RUU Perlindungan Data Pribadi sih,negatif
RUU PDP kan sudah sejak lama mau disahkan BataL terus…,negatif
Ternyata ini motif untuk urgensi RUU PDP Pantes Dpr ngedesak banget untuk RUU disahkan secara kebetulan dengan adanya kasus bjorka ini Dengan RUU ini disahkan maka bakal cair anggaran triliun Ini proyek besar banget sih buat para Dpr dan para kepentingan yg lain,negatif
nunggu jebol dulu,negatif
Halah tenang tenang awas aja ntar nomornya diretas ganti nomor Amrik,negatif
ntar kalo RUU PDP disahkan orang orang kayak gini sih enaknya disingkirkan aja sih,negatif
Dahlah Menko Polhukam aja ga aware soal keamanan data pribadi Jangan2 nanti RUU PDP kalau disahkan,negatif
Jalan masih jauh ferguso Walaupun disahkannya RUU ini bisa angin baik,negatif
Masuk sebagai korban Bjoka,negatif
Kalau ini cocok dikatakan BEGOG  TOGOG,negatif
Berani nggak ngedemo DPR agar RUU PDP,negatif
Taukah Tweeps bahwa praktik doxing juga sering kali digunakan untuk menghalangi kerja kerja kemanusiaan,negatif
Itu juga gak update,negatif
Disebut serangan cyber klasifikasi rendah namun tidak mampu mengatasi,negatif
UU ITE dan RUU PDP dijadikan ujung tombak Tanpa teknologi hanya akan lebih memalukan,negatif
RUU PDP memang diperlukan namun tanpa teknologi hanya akan lebih memalukan,negatif
Mengatasi serangan cyber aja ga mampu apalagi kalau menghadapi embargo ekonomi ASNATO,negatif
kalau gini mah ya pantes aja RUU PDP ga akan lolos kalaupun lolos mungkin kedepannya kayak UU ITE dipakai buat jerat yg berlawanan dengan pihak terkait,negatif
Srikandi Gerindra itu juga menambahkan pembahasan RUU PDP tim Komisi I DPR RI dengan Kominfo menghasilkan 371 Daftar Inventar…,negatif
Kayak yang udah berkali2 kejadian lohh,negatif
Kenapa baru nongol disaat heker lagi jadi trending topik dah,negatif
Kok bisa di satu kabinet yang sama outputnya soal satu topik aja beda Indikasi data pribadi masyarakat disalah gunakan Jangan jangan data pribadi jadi komoditas kepentingan segelintir orang aja,negatif
Walaupun sering kontra,negatif
lah gimana sih NIK nya aja bocor,negatif
Maraknya kebocoran data,negatif
Tanpa kejelasan teknis,negatif
Terkait maraknya kebocoran data,negatif
Soal data ini bikin smakin kesal sama pemerintah yak bisanya cuma bantah2 aja,negatif
Kalau uda bantah dan bilang hoax atau gak betul trus selesai gitu urusan  itu ruu pdp dr kapan di teriakin gak di urus urus,negatif
gimana gak di acak acak nih negeri kalau jagonya cuma bantah bantah aja,negatif
bukannya perbaiki infratruktur IT dan tata kelola IT di pemerintahan serta rampungkan RUU PDP jadi UU PDP,negatif
tapi ada dugaan bjorka ini bertugas memuluskan RUU PDP supaya budget baru muncul benarkah bang,negatif
Selama RUU PDP belom disahin ya data lu di internet ya anggep aja ngambang,negatif
Nah dengan begitu masif kebocoran data adalah mensyahkan RUU PDP tapi ada poin yg belum jelas  abu2  di RUU itu,negatif
Ketemunya Offline biar gak dihack nih yeee,negatif
